Run,sex,Ecotype,Standardized_Ecotype,age,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,dev_stage,Collection_Date,BREED,Cultivar,isolate,strain,lat_lon
SRR24181836,male,Icelandic herring-eating population,North Atlantic,,uncalculated,uncalculated,Atlantic Ocean: Vestmannaeyjar Iceland,adult,7/21/2016,,,,,
SRR24181839,male,Iceland herring-eating population,North Atlantic,,uncalculated,uncalculated,Atlantic Ocean: Grundarfjordur Iceland,adult,3/29/2014,,,,,
SRR24182389,male,Icelandic,North Atlantic,,uncalculated,uncalculated,Atlantic Ocean: Vestmannaeyjar Iceland,adult,7/7/2014,,,,,
SRR24172360,male,Iceland,North Atlantic,missing,,,,,,,,,,
SRR15276973,female,type D,Type D,,,,,adult,,,,,,
SRR15311813,male,offshore,Offshore,missing,,,,,,,,,,
SRR15311815,female,Maldives,Indian Ocean,missing,,,,,,,,,,
SRR15311817,male,Southern Ocean,Type B or C,missing,,,,,,,,,,
SRR15311819,female,Southern Ocean,Type B or C,missing,,,,,,,,,,
SRR15311822,male,Antarctic Peninsula,Type B or C,missing,,,,,,,,,,
SRR15311824,male,Crozet Archipelago,Type B or C,missing,,,,,,,,,,
SRR15311826,male,"Bremer Canyon, S.W. Australia",Southwestern Australia,missing,,,,,,,,,,
SRR15311828,male,"Ningaloo, W. Australia",Northwestern Australia,missing,,,,,,,,,,
SRR15311831,male,New Zealand,North Atlantic,missing,,,,,,,,,,
SRR15311832,male,Chatham Isles,Eastern Australia,missing,,,,,,,,,,
SRR15311834,male,Hawaii,Hawaii,missing,,,,,,,,,,
SRR15311836,male,Brazil,Tropical Atlantic,missing,,,,,,,,,,
SRR15311837,male,Gabon,Tropical Atlantic,missing,,,,,,,,,,
SRR15311839,male,Gulf of Mexico,Gulf of Mexico,missing,,,,,,,,,,
SRR15311842,male,Strait of Gibraltar,North Atlantic,missing,,,,,,,,,,
SRR15311843,female,Scotland,North Atlantic,missing,,,,,,,,,,
SRR15311846,male,Mexico Pacific,Mexico Pacific,missing,,,,,,,,,,
SRR15311847,male,Clipperton Island,Mexico Pacific,missing,,,,,,,,,,
SRR15311849,female,Newfoundland,North Atlantic,missing,,,,,,,,,,
