Run,sex,location,ecotype
SRR24181836,male,Icelandic herring-eating population,NorthAtlantic
SRR24181839,male,Iceland herring-eating population,NorthAtlantic
SRR24182389,male,Icelandic,NorthAtlantic
SRR24172360,male,Iceland,NorthAtlantic
SRR15276973,female,TypeD,TypeD
SRR15311813,male,offshore,Offshore
SRR15311815,female,Maldives,IndianOcean
SRR15311817,male,Southern Ocean,TypeBC
SRR15311819,female,Southern Ocean,TypeBC
SRR15311822,male,Antarctic Peninsula,TypeBC
SRR15311824,male,Crozet Archipelago,TypeBC
SRR15311826,male,"Bremer Canyon, S.W. Australia",SouthwesternAustralia
SRR15311828,male,"Ningaloo, W. Australia",NorthwesternAustralia
SRR15311831,male,New Zealand,NorthAtlantic
SRR15311832,male,Chatham Isles,EasternAustralia
SRR15311834,male,Hawaii,Hawaii
SRR15311836,male,Brazil,TropicalAtlantic
SRR15311837,male,Gabon,TropicalAtlantic
SRR15311839,male,GulfMexico,GulfMexico
SRR15311842,male,Strait of Gibraltar,NorthAtlantic
SRR15311843,female,Scotland,NorthAtlantic
SRR15311846,male,MexicoPacific,MexicoPacific
SRR15311847,male,Clipperton Island,MexicoPacific
SRR15311849,female,Newfoundland,NorthAtlantic
SRR15311852,male,Iceland,NorthAtlantic
SRR8861574,male,MexicoPacific,MexicoPacific
SRR8861575,male,Hawaii,Hawaii
SRR8861576,male,Brazil,TropicalAtlantic
SRR8861577,male,offshore,Offshore
SRR8861578,male,New Zealand,EasternAustralia
SRR8861579,male,Antarctic Peninsula,TypeBC
SRR8861580,female,Maldives,IndianOcean
SRR8861581,female,Newfoundland,NorthAtlantic
SRR8861582,female,Southern Ocean,TypeBC
SRR8861583,male,Chatham Isles,EasternAustralia
SRR8861584,male,Gabon,TropicalAtlantic
SRR8861585,male,Southern Ocean,TypeBC
SRR8861588,male,Strait of Gibraltar,NorthAtlantic
SRR8861589,male,"Ningaloo, W. Australia",NorthwesternAustralia
SRR8861590,male,Crozet Archipelago,TypeBC
SRR8861591,male,"Bremer Canyon, S.W. Australia",SouthwesternAustralia
SRR8861592,female,Scotland,NorthAtlantic
SRR8861594,male,Iceland,NorthAtlantic
SRR15236557,female,Maldives,IndianOcean
SRR15236562,male,Southern Ocean,TypeBC
SRR15236563,female,Southern Ocean,TypeBC
SRR15236565,male,"Bremer Canyon, S.W. Australia",SouthwesternAustralia
SRR26406890,female,EasternAustralia,EasternAustralia
SRR26406892,female,Ningaloo,NorthwesternAustralia
SRR26406909,female,SouthwesternAustralia,SouthwesternAustralia
SRR26406912,male,SouthwesternAustralia,SouthwesternAustralia
SRR26406914,female,SouthwesternAustralia,SouthwesternAustralia
SRR26406885,male,SouthwesternAustralia,SouthwesternAustralia
SRR26406898,male,NorthwesternAustralia,NorthwesternAustralia
SRR26406900,female,NorthwesternAustralia,NorthwesternAustralia
SRR26406901,female,NorthwesternAustralia,NorthwesternAustralia
SRR26406903,male,NorthwesternAustralia,NorthwesternAustralia
SRR26406904,male,EasternAustralia,EasternAustralia
SRR26406907,female,SouthwesternAustralia,SouthwesternAustralia
